Const,Your Rating,Date Rated,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,YearRated,Metascore Rating
tt4116116,7,2016-08-14,Guibord s'en va-t-en guerre,https://www.imdb.com/title/tt4116116/,movie,7,108,2015,Comedy,643,2015-08-10,Philippe Falardeau,2016,NA
tt4116284,6,2017-02-17,The LEGO Batman Movie,https://www.imdb.com/title/tt4116284/,movie,7.3,104,2017,"Animation, Action, Adventure, Comedy, Family, Fantasy",98349,2017-02-01,Chris McKay,2017,7.5
tt4125300,5,2016-05-15,Hana to Arisu satsujin jiken,https://www.imdb.com/title/tt4125300/,movie,7.2,100,2015,"Animation, Drama",984,2015-02-20,Shunji Iwai,2016,NA
tt4139124,6,2016-08-02,Keanu,https://www.imdb.com/title/tt4139124/,movie,6.3,100,2016,"Action, Comedy",37641,2016-03-13,Peter Atencio,2016,6.3
tt4154756,7,2018-04-25,Avengers: Infinity War,https://www.imdb.com/title/tt4154756/,movie,9.1,149,2018,"Action, Adventure, Fantasy, Sci-Fi",105969,2018-04-23,"Anthony Russo, Joe Russo",2018,6.8
tt4158096,4,2017-06-19,Free Fire,https://www.imdb.com/title/tt4158096/,movie,6.4,91,2016,"Action, Comedy, Crime, Thriller",30244,2016-09-08,Ben Wheatley,2017,6.3
tt4161586,3,2016-06-15,Et ta soeur,https://www.imdb.com/title/tt4161586/,movie,5.3,95,2015,"Comedy, Drama",250,2015-10-23,Marion Vernoux,2016,NA
tt4172430,4,2016-08-14,13 Hours,https://www.imdb.com/title/tt4172430/,movie,7.3,144,2016,"Action, Drama, History, Thriller, War",91732,2016-01-12,Michael Bay,2016,4.8
tt4176826,6,2016-07-18,Er ist wieder da,https://www.imdb.com/title/tt4176826/,movie,7.1,116,2015,"Comedy, Fantasy",28853,2015-10-08,David Wnendt,2016,NA
tt4196776,6,2016-08-13,Jason Bourne,https://www.imdb.com/title/tt4196776/,movie,6.6,123,2016,"Action, Thriller",174249,2016-07-03,Paul Greengrass,2016,5.8
tt4209788,7,2018-01-24,Molly's Game,https://www.imdb.com/title/tt4209788/,movie,7.5,140,2017,"Biography, Crime, Drama",56151,2017-09-08,Aaron Sorkin,2018,7.1
tt4225622,4,2017-11-26,The Babysitter,https://www.imdb.com/title/tt4225622/,movie,6.3,85,2017,"Comedy, Horror",33195,2017-10-13,McG,2017,NA
tt4244162,2,2016-12-25,Beta Test,https://www.imdb.com/title/tt4244162/,movie,5.9,88,2016,"Action, Sci-Fi, Thriller",10677,2016-07-22,Nicholas Gyeney,2016,NA
tt4250606,5,2016-02-18,Good Luck Algeria,https://www.imdb.com/title/tt4250606/,movie,6,91,2015,"Comedy, Sport",192,2015-10-25,Farid Bentoumi,2016,NA
